ch,min,max,function
1,0,255,pan value
2,0,255,fine pan value (1/100)
3,0,255,tilt value
4,0,255,fine tilt value (1/64)
5,0,255,pan and tilt speed setting (0:fast, 255:slow)
6,0,255,master dimmer 0-100%
7,0,255,"0: full out, 1-255: strobe mode"
8,0,255,red dimmer 0-100%
9,0,255,green dimmer 0-100%
10,0,255,blue dimmer 0-100%
11,0,255,white dimmer 0-100%
12,0,255,"0-3: N/A, 4-102: auto mode 1, 103-153: auto mode 2?, 154-204: auto mode 3?, 205-255: sound to light mode?"
13,0,255,"0-254: N/A, 255: factory reset?"
